system,local_reference,route_kind,n,N,same_be_task,semantic_level,status,construct_ms,verify_ms,dense_unitary_memory,clean_block_error,unitarity_error,symbolic_family,final_be_certificate,interpretation,detail
NumPy dense completion,local script,finite dense one-auxiliary block completion,1,2,True,finite numeric clean-block and unitarity check,passed,0.09888038039207458,0.0,256 B,0.0,0.0,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
Qiskit Operator,qiskit.quantum_info.Operator,finite dense unitary circuit check,1,2,True,finite Qiskit unitary materialization and block assertion,passed,0.09888038039207458,0.4136674106121063,256 B,0.0,0.0,False,False,"Executable finite BE evidence.  Useful after ABEIS proposes a concrete candidate, but not a proof for all n.",Built a QuantumCircuit with one dense unitary instruction.
NumPy dense completion,local script,finite dense one-auxiliary block completion,2,4,True,finite numeric clean-block and unitarity check,passed,0.127304345369339,0.0,1 KiB,6.216025217875883e-17,2.4490372053239706e-16,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
Qiskit Operator,qiskit.quantum_info.Operator,finite dense unitary circuit check,2,4,True,finite Qiskit unitary materialization and block assertion,passed,0.127304345369339,0.40005892515182495,1 KiB,6.216025217875883e-17,2.4490372053239706e-16,False,False,"Executable finite BE evidence.  Useful after ABEIS proposes a concrete candidate, but not a proof for all n.",Built a QuantumCircuit with one dense unitary instruction.
NumPy dense completion,local script,finite dense one-auxiliary block completion,3,8,True,finite numeric clean-block and unitarity check,passed,0.3407895565032959,0.0,4 KiB,2.7755575615628914e-17,3.331001868873851e-16,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
Qiskit Operator,qiskit.quantum_info.Operator,finite dense unitary circuit check,3,8,True,finite Qiskit unitary materialization and block assertion,passed,0.3407895565032959,0.4430711269378662,4 KiB,2.7755575615628914e-17,3.331001868873851e-16,False,False,"Executable finite BE evidence.  Useful after ABEIS proposes a concrete candidate, but not a proof for all n.",Built a QuantumCircuit with one dense unitary instruction.
NumPy dense completion,local script,finite dense one-auxiliary block completion,4,16,True,finite numeric clean-block and unitarity check,passed,1.1351406574249268,0.0,16 KiB,0.0,2.6359355356596123e-16,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
Qiskit Operator,qiskit.quantum_info.Operator,finite dense unitary circuit check,4,16,True,finite Qiskit unitary materialization and block assertion,passed,1.1351406574249268,0.6331540644168854,16 KiB,0.0,2.6359355356596123e-16,False,False,"Executable finite BE evidence.  Useful after ABEIS proposes a concrete candidate, but not a proof for all n.",Built a QuantumCircuit with one dense unitary instruction.
NumPy dense completion,local script,finite dense one-auxiliary block completion,5,32,True,finite numeric clean-block and unitarity check,passed,4.238653928041458,0.0,64 KiB,0.0,4.441100866391492e-16,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
NumPy dense completion,local script,finite dense one-auxiliary block completion,6,64,True,finite numeric clean-block and unitarity check,passed,16.916099935770035,0.0,256 KiB,1.7844057458630198e-16,8.24014569173111e-16,False,False,"Valid finite executable check for this n; resource and memory grow exponentially, so it is not the scalable ABEIS target.",alpha=||v_n||_2; U completed by deterministic Gram-Schmidt.
Qiskit-QuantumKatas evaluator,outer_repos/quantum/llm_circuit_verifier_feedback/Qiskit-QuantumKatas,custom cubic kata finite test,3,8,True,finite Python/Qiskit-style kata assertion,passed,,10.96205785870552,4 KiB,0.0,0.0,False,False,"The kata harness can check a finite dense construction, but it does not produce the symbolic block-encoding theorem that ABEIS targets.",Subprocess kata check passed.
QASM-Eval,outer_repos/quantum/llm_circuit_verifier_feedback/QASM-Eval,OpenQASM completion evaluator,,,False,"typed circuit feedback, not a dense block-entry verifier for this rank-one operator",generic-runnable-not-direct,,,,,,False,False,Useful design analogue for typed verifier feedback; this local route does not directly certify the cubic BE semantics.,"OpenQASM parser is installed.  The local QASM-Eval route is runnable as typed QASM feedback, but no same-task dense cubic BE clean-block verifier is generated here."
QUASAR,outer_repos/quantum/llm_circuit_verifier_feedback/QUASAR,tool-server hierarchical reward,,,False,not runnable from local release,not-runnable,,,,,,False,False,Harness idea comparison only; no local same-task verifier route is available.,Local README indicates code release is incomplete or route is unavailable.
AI-Mandel,outer_repos/quantum/llm_circuit_verifier_feedback/ai-mandel,natural-language idea to tool-executable config loop,,,False,Python compile check only; not BE clean-block semantics,compile-check-passed,,,,,,False,False,"Relevant to ABEIS natural-language architect/tool-feedback staging, not a direct competitor verifier.","Core scripts compile, but the project is not a BE verifier and requires API/tool setup for full runs."
